sharpness,handle,vendor
378.2,connor-brothers-i-dont-want-to-go-to-heaven-none-of-my-friends-are-there-201,The Connor Brothers
376.8,surreal-man-2024,Andres Valencia
360.2,texas-buffalo-kill,Kinki Texas
352.2,viewer-2011,Liu Shuishi
345.2,the-connor-brothers-all-things-truly-wicked-2020,The Connor Brothers
333.4,sylve-subdued-2022,Logan Sylve
326.1,mazzucco-montauk-pill-box-2016,Raphael Mazzucco
314.6,the-connor-brothers-i-drink-therefore-i-can-2020,The Connor Brothers
306.9,socrates-judgement-2016,Liu Shuishi
297.8,be-yourself-everyone-else-is-taken-2021-copy,The Connor Brothers
228.2,be-yourself-everyone-else-is-taken-2021,The Connor Brothers
193.7,la-ii-la-ii-enamel-ecstacy-1990-s,Angel Ortiz (LA II / LA2)
156.7,ron-galella-farrah-fawcett-1977,Ron Galella
150.0,ron-galella-jackie-onassis-john-jr-1969,Ron Galella
137.7,demonstrative-observation-2015,Liu Shuishi
95.5,ron-galella-andy-warhol-and-bianca-jagger-1978,Ron Galella
62.0,mazzucco-baltic-sea-2011,Raphael Mazzucco
